,Username,Title,Country,Last_Online,Joined,lastrapid,lastblitz,lastdaily,lastbullet,recordrapid,recordblitz,recordbullet,recorddaily
5986,sergey_kasparov,GM,BY,1587643505,1397509085,"{'rating': 1875, 'date': 1584448674, 'rd': 172}","{'rating': 2509, 'date': 1587729604, 'rd': 43}",N/A,"{'rating': 2106, 'date': 1560972856, 'rd': 248}","{'win': 1, 'loss': 0, 'draw': 4}","{'win': 922, 'loss': 1008, 'draw': 335}","{'win': 2, 'loss': 2, 'draw': 0}",N/A
5987,sergiochess83,GM,RU,1587549762,1464879662,N/A,"{'rating': 2817, 'date': 1587495037, 'rd': 52}",N/A,"{'rating': 2562, 'date': 1554409474, 'rd': 62}",N/A,"{'win': 855, 'loss': 918, 'draw': 395}","{'win': 175, 'loss': 163, 'draw': 30}",N/A
5988,setandgame,GM,US,1587672838,1485185318,N/A,"{'rating': 2430, 'date': 1583167081, 'rd': 91}",N/A,"{'rating': 2436, 'date': 1585679919, 'rd': 58}",N/A,"{'win': 117, 'loss': 73, 'draw': 16}","{'win': 50, 'loss': 34, 'draw': 6}",N/A
5989,sethu0025,GM,IN,1587691286,1456821413,N/A,"{'rating': 2834, 'date': 1587747769, 'rd': 28}",N/A,"{'rating': 2544, 'date': 1587692500, 'rd': 47}",N/A,"{'win': 1410, 'loss': 890, 'draw': 234}","{'win': 253, 'loss': 167, 'draw': 27}",N/A
5990,severomorskij,GM,UA,1587651311,1414094453,N/A,"{'rating': 2825, 'date': 1586545058, 'rd': 37}",N/A,"{'rating': 2725, 'date': 1587496619, 'rd': 68}",N/A,"{'win': 550, 'loss': 359, 'draw': 116}","{'win': 518, 'loss': 452, 'draw': 62}",N/A
5991,sevian-bos,GM,US,1509324628,1377151414,N/A,"{'rating': 1333, 'date': 1378450111, 'rd': 291}",N/A,"{'rating': 1486, 'date': 1398216294, 'rd': 248}",N/A,"{'win': 1, 'loss': 0, 'draw': 0}","{'win': 2, 'loss': 0, 'draw': 0}",N/A
5992,shankland,GM,US,1587680565,1239306686,"{'rating': 2683, 'date': 1579554508, 'rd': 168}","{'rating': 2872, 'date': 1587624366, 'rd': 36}","{'rating': 1909, 'date': 1346574723, 'rd': 179}","{'rating': 2536, 'date': 1567485558, 'rd': 128}","{'win': 5, 'loss': 1, 'draw': 3}","{'win': 512, 'loss': 255, 'draw': 139}","{'win': 321, 'loss': 240, 'draw': 34}","{'win': 34, 'loss': 15, 'draw': 7, 'time_per_move': 40228, 'timeout_percent': 0}"
5993,shankland-ne,GM,US,1509323911,1346270707,"{'rating': 2673, 'date': 1384640759, 'rd': 292}",N/A,N/A,N/A,"{'win': 1, 'loss': 0, 'draw': 0}",N/A,N/A,N/A
5994,shant_sargsyan,GM,AM,1587591668,1462137161,N/A,"{'rating': 3014, 'date': 1587571334, 'rd': 30}","{'rating': 1581, 'date': 1545069302, 'rd': 190}","{'rating': 3157, 'date': 1587573202, 'rd': 42}",N/A,"{'win': 1732, 'loss': 1523, 'draw': 580}","{'win': 3394, 'loss': 3370, 'draw': 689}","{'win': 5, 'loss': 0, 'draw': 1, 'time_per_move': 11802, 'timeout_percent': 0}"
5995,sharpchess22,GM,AR,1587519526,1440774260,"{'rating': 2525, 'date': 1581974579, 'rd': 333}","{'rating': 2743, 'date': 1587500932, 'rd': 34}",N/A,"{'rating': 2408, 'date': 1544065285, 'rd': 341}","{'win': 0, 'loss': 0, 'draw': 1}","{'win': 1995, 'loss': 1879, 'draw': 327}","{'win': 1, 'loss': 0, 'draw': 0}",N/A
5996,shevson,GM,PL,1587670307,1392309935,"{'rating': 2200, 'date': 1525025432, 'rd': 290}","{'rating': 2396, 'date': 1587739402, 'rd': 86}","{'rating': 2347, 'date': 1582628781, 'rd': 204}","{'rating': 1945, 'date': 1587651834, 'rd': 73}","{'win': 1, 'loss': 0, 'draw': 0}","{'win': 15, 'loss': 8, 'draw': 2}","{'win': 14, 'loss': 19, 'draw': 0}","{'win': 12, 'loss': 0, 'draw': 1, 'time_per_move': 34815, 'timeout_percent': 0}"
5997,shiirav,GM,MN,1587704979,1489621087,N/A,"{'rating': 2585, 'date': 1586060518, 'rd': 43}",N/A,N/A,N/A,"{'win': 266, 'loss': 226, 'draw': 28}",N/A,N/A
5998,shimanovalex,GM,US,1587674916,1443335311,N/A,"{'rating': 2628, 'date': 1587665791, 'rd': 42}",N/A,"{'rating': 2613, 'date': 1508538059, 'rd': 70}",N/A,"{'win': 2974, 'loss': 2119, 'draw': 586}","{'win': 84, 'loss': 39, 'draw': 7}",N/A
